LAD23NM,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Wychavon,352.1,376.7,394.5,419.0,368.8,386.6,389.9,411.3,398.3,394.8,421.0,457.1,429.4,451.4,517.7,547.0,580.0
Bolton,352.2,362.7,354.9,345.1,358.7,377.6,369.3,384.5,390.7,403.6,404.1,430.9,436.1,445.6,494.1,533.7,550.2
Perth and Kinross,353.1,375.9,364.6,375.7,385.8,371.8,397.5,420.6,419.6,424.7,433.8,467.4,478.4,491.7,531.3,602.1,616.3
Wolverhampton,353.2,345.9,349.9,348.0,352.4,372.4,378.1,375.0,389.9,395.3,412.0,428.5,446.3,482.9,491.9,533.7,568.9
Gateshead,353.8,367.0,365.0,370.4,388.0,402.0,388.2,402.0,400.0,405.5,410.3,429.0,434.5,466.8,495.2,519.2,562.8
Preston,353.9,342.0,345.3,328.7,332.4,332.6,341.1,349.8,379.1,382.1,402.5,402.5,427.5,452.6,440.8,509.9,562.1
Torfaen,354.0,383.3,395.1,383.9,375.2,397.9,401.4,425.5,416.1,430.4,449.8,455.4,465.9,477.0,514.3,521.4,570.2
Sandwell,354.7,348.0,353.0,357.1,361.7,360.4,372.2,383.3,396.7,403.2,417.9,421.6,419.5,455.7,477.1,517.5,543.4
Barnsley,354.9,371.7,383.9,367.1,388.5,390.0,393.8,390.4,395.0,416.3,411.1,447.2,434.4,466.9,494.9,532.0,585.3
Havant,354.9,383.2,394.1,400.0,400.5,407.4,417.9,429.7,428.0,446.2,466.3,492.7,455.2,479.0,494.1,543.4,611.4
Gedling,355.1,400.0,384.1,387.1,405.5,420.8,395.8,418.7,400.2,430.5,467.3,454.2,425.5,461.5,478.5,522.0,563.2
Highland,355.1,357.9,371.0,377.9,375.9,381.8,395.6,381.9,418.1,439.1,433.0,450.7,459.1,495.1,508.3,576.7,590.5
Babergh,355.2,378.3,389.6,383.1,383.7,395.1,387.4,388.7,418.6,460.3,479.1,478.5,462.0,494.0,504.1,522.6,594.2
NewcastleunderLyme,355.5,383.3,386.1,361.2,353.4,376.1,399.4,402.5,397.1,386.9,426.1,445.4,456.0,486.2,486.3,522.9,595.7
Sheffield,355.6,368.5,383.1,370.1,376.9,385.0,381.9,388.3,409.1,416.6,426.8,449.4,439.4,482.7,493.1,540.5,582.5
Doncaster,355.7,346.3,374.2,348.8,363.3,353.8,380.5,366.0,378.4,378.9,411.5,434.7,457.5,487.8,494.9,537.0,579.7
Liverpool,356.1,365.8,389.6,365.4,371.4,400.0,409.8,392.9,416.9,419.5,436.0,452.0,467.9,489.9,509.3,549.5,582.9
North East Lincolnshire,356.3,368.5,341.9,355.2,340.9,360.0,358.6,354.3,359.9,365.1,398.8,415.2,442.2,447.4,492.7,543.1,574.9
Conwy,357.2,325.1,323.3,317.1,330.1,359.4,382.1,376.8,401.3,400.9,386.2,406.6,424.4,426.8,491.1,503.8,516.8
Clackmannanshire,357.2,345.9,379.1,391.2,375.6,396.1,376.3,422.2,431.1,430.6,410.0,445.9,490.4,539.1,539.8,623.4,696.0
Portsmouth,357.5,373.7,384.4,367.5,401.7,375.6,400.1,412.7,410.2,421.6,423.1,432.4,424.3,486.9,528.6,538.4,595.6
North Lanarkshire,357.5,364.6,371.1,383.6,390.0,410.4,400.9,410.1,440.8,441.6,470.2,482.6,488.7,496.2,554.7,614.8,630.0
Eastbourne,358.5,352.5,361.3,343.2,356.1,383.3,383.8,391.2,426.1,383.2,424.6,447.9,456.1,444.2,511.8,594.0,588.8
Neath Port Talbot,358.5,384.6,383.9,351.8,368.6,375.3,403.7,392.8,402.5,418.4,431.4,459.4,459.9,479.1,519.4,546.3,587.4
County Durham,358.9,358.8,380.8,381.6,392.9,390.3,409.2,415.7,423.8,439.0,448.4,467.8,454.7,469.4,488.9,528.5,555.7
Sefton,358.9,361.5,364.3,389.7,378.4,389.0,402.9,399.1,414.2,439.7,418.3,453.2,433.7,455.2,479.2,516.7,548.1
Argyll and Bute,359.5,342.0,395.5,370.6,348.0,362.1,360.5,441.4,400.6,394.9,391.9,402.2,437.2,458.9,479.7,528.9,573.0
Na hEileanan Siar,359.7,394.5,422.9,336.0,360.0,370.9,385.3,421.6,404.8,430.1,411.3,480.1,435.0,545.1,521.3,587.2,566.7
Oldham,359.9,369.6,372.6,345.0,353.7,362.7,371.1,381.9,377.9,403.9,412.0,431.2,426.2,450.8,492.5,507.5,579.3
Melton,360.0,334.2,370.9,334.9,346.0,334.3,361.4,365.0,384.6,430.5,411.2,358.6,413.1,415.2,478.3,488.9,507.6
Worcester,360.1,368.2,409.5,399.1,411.9,401.1,393.3,438.0,430.2,473.7,466.6,468.6,424.9,502.6,523.9,579.0,606.8
Salford,360.2,347.4,361.6,360.3,378.3,377.6,394.7,400.0,396.5,414.9,430.5,439.4,460.0,470.9,533.3,536.6,611.0
Tamworth,360.3,380.2,401.4,360.0,361.2,364.4,386.7,402.5,436.3,438.2,457.6,476.3,437.5,472.6,534.1,560.5,615.4
Kirklees,360.7,365.5,381.7,369.4,370.5,372.4,384.2,386.7,400.0,410.5,415.8,433.1,440.4,461.9,514.8,534.4,554.6
Somerset,360.7,361.8,373.8,356.0,367.4,371.5,381.4,379.1,386.5,398.9,400.8,433.9,437.8,454.9,485.8,518.5,563.6
Gloucester,361.2,371.8,371.6,368.7,372.7,391.5,393.1,399.7,415.6,417.3,430.2,438.3,430.1,474.8,501.1,543.8,586.5
Birmingham,361.8,380.5,381.0,372.2,387.1,397.9,397.8,401.5,402.4,422.6,427.9,436.3,447.6,465.8,499.9,528.0,565.4
St. Helens,362.0,384.0,381.4,387.2,387.3,373.5,387.3,405.4,431.6,420.4,442.1,478.7,453.5,493.3,548.6,566.8,596.0
Telford and Wrekin,362.1,345.0,363.1,356.1,375.1,386.6,366.9,370.4,383.3,399.9,415.9,427.9,445.4,455.2,518.4,571.7,567.3
Hinckley and Bosworth,362.2,371.3,376.5,404.1,397.1,395.0,408.7,416.8,423.9,431.3,464.0,456.5,496.9,479.1,535.2,580.0,581.5
Vale of Glamorgan,362.3,392.8,405.8,393.9,390.0,405.1,421.6,416.8,476.2,472.8,460.2,485.5,481.3,488.2,519.9,561.7,613.2
Glasgow City,363.3,386.8,383.7,382.8,384.6,398.4,395.3,410.7,425.4,422.6,437.4,452.0,476.2,501.6,523.5,575.1,590.2
Worthing,364.0,385.0,378.4,401.2,412.4,406.8,416.6,426.0,396.2,433.0,440.8,469.1,487.7,510.7,527.7,575.0,642.1
North Yorkshire,364.1,366.9,383.3,372.0,373.7,373.7,380.0,384.0,394.3,406.7,441.3,450.0,440.6,468.5,497.4,536.6,574.9
